2025-02-03 22:00:59,631 Server stopped by user
2025-02-03 22:01:10,007 시간 동기화 데이터 업데이트: 2025-02-03 22:01:10
2025-02-03 22:01:10,013 Starting Modbus TCP Gas Cabinet Server...
2025-02-03 22:01:36 | =========Gas Cabinet plc_data 시작 =========
2025-02-03 22:01:36 | Bunker ID: 1
2025-02-03 22:01:36 | Gas Cabinet ID: 3
2025-02-03 22:01:36 | PT1A: 33 PSI
2025-02-03 22:01:36 | PT2A: 23 PSI
2025-02-03 22:01:36 | PT1B: 20 PSI
2025-02-03 22:01:36 | PT2B: 42 PSI
2025-02-03 22:01:36 | PT3: 17 PSI
2025-02-03 22:01:36 | PT4: 25 PSI
2025-02-03 22:01:36 | WA: 13 kg
2025-02-03 22:01:36 | WB: 92 kg
2025-02-03 22:01:36 | [A] JACKET HEATER: 26°C
2025-02-03 22:01:36 | [A] LINE HEATER: 44°C
2025-02-03 22:01:36 | [B] JACKET HEATER: 14°C
2025-02-03 22:01:36 | [B] LINE HEATER: 90°C
2025-02-03 22:01:37 | =========Gas Cabinet plc_data 시작 =========
2025-02-03 22:01:37 | Bunker ID: 1
2025-02-03 22:01:37 | Gas Cabinet ID: 3
2025-02-03 22:01:37 | PT1A: 19 PSI
2025-02-03 22:01:37 | PT2A: 67 PSI
2025-02-03 22:01:37 | PT1B: 85 PSI
2025-02-03 22:01:37 | PT2B: 52 PSI
2025-02-03 22:01:37 | PT3: 58 PSI
2025-02-03 22:01:37 | PT4: 62 PSI
2025-02-03 22:01:37 | WA: 24 kg
2025-02-03 22:01:37 | WB: 28 kg
2025-02-03 22:01:37 | [A] JACKET HEATER: 70°C
2025-02-03 22:01:37 | [A] LINE HEATER: 48°C
2025-02-03 22:01:37 | [B] JACKET HEATER: 16°C
2025-02-03 22:01:37 | [B] LINE HEATER: 4°C
2025-02-03 22:01:39 | =========Gas Cabinet plc_data 시작 =========
2025-02-03 22:01:39 | Bunker ID: 1
2025-02-03 22:01:39 | Gas Cabinet ID: 3
2025-02-03 22:01:39 | PT1A: 28 PSI
2025-02-03 22:01:39 | PT2A: 43 PSI
2025-02-03 22:01:39 | PT1B: 26 PSI
2025-02-03 22:01:39 | PT2B: 67 PSI
2025-02-03 22:01:39 | PT3: 29 PSI
2025-02-03 22:01:39 | PT4: 40 PSI
2025-02-03 22:01:39 | WA: 51 kg
2025-02-03 22:01:39 | WB: 73 kg
2025-02-03 22:01:39 | [A] JACKET HEATER: 86°C
2025-02-03 22:01:39 | [A] LINE HEATER: 100°C
2025-02-03 22:01:39 | [B] JACKET HEATER: 24°C
2025-02-03 22:01:39 | [B] LINE HEATER: 88°C
2025-02-03 22:01:40 | =========Gas Cabinet plc_data 시작 =========
2025-02-03 22:01:40 | Bunker ID: 1
2025-02-03 22:01:40 | Gas Cabinet ID: 3
2025-02-03 22:01:40 | PT1A: 72 PSI
2025-02-03 22:01:40 | PT2A: 28 PSI
2025-02-03 22:01:40 | PT1B: 61 PSI
2025-02-03 22:01:40 | PT2B: 12 PSI
2025-02-03 22:01:40 | PT3: 26 PSI
2025-02-03 22:01:40 | PT4: 19 PSI
2025-02-03 22:01:40 | WA: 42 kg
2025-02-03 22:01:40 | WB: 52 kg
2025-02-03 22:01:40 | [A] JACKET HEATER: 29°C
2025-02-03 22:01:40 | [A] LINE HEATER: 65°C
2025-02-03 22:01:40 | [B] JACKET HEATER: 73°C
2025-02-03 22:01:40 | [B] LINE HEATER: 46°C
2025-02-03 22:01:41 | =========Gas Cabinet plc_data 시작 =========
2025-02-03 22:01:41 | Bunker ID: 1
2025-02-03 22:01:41 | Gas Cabinet ID: 3
2025-02-03 22:01:41 | PT1A: 20 PSI
2025-02-03 22:01:41 | PT2A: 14 PSI
2025-02-03 22:01:41 | PT1B: 43 PSI
2025-02-03 22:01:41 | PT2B: 3 PSI
2025-02-03 22:01:41 | PT3: 24 PSI
2025-02-03 22:01:41 | PT4: 34 PSI
2025-02-03 22:01:41 | WA: 3 kg
2025-02-03 22:01:41 | WB: 15 kg
